_id,epi_week,disease,no._of_cases
9923,2017-W48,HFMD,463
9924,2017-W48,Diphtheria,0
9925,2017-W48,Measles,0
9926,2017-W48,Mumps,9
9927,2017-W48,Rubella,0
9928,2017-W48,SARS,0
9929,2017-W48,Nipah,0
9930,2017-W48,Acute Viral hepatitis B,4
9931,2017-W48,Encephalitis,0
9932,2017-W48,Legionellosis,0
9933,2017-W48,Campylobacter enteritis,11
9934,2017-W48,Acute Viral hepatitis C,1
9935,2017-W48,Leptospirosis,2
9936,2017-W48,Melioidosis,0
9937,2017-W48,Meningococcal Infection,1
9938,2017-W48,Pertussis,4
9939,2017-W48,Pneumococcal Disease (invasive),2
9940,2017-W48,Haemophilus influenzae type b,0
9941,2017-W48,Salmonellosis(non-enteric fevers),38
9942,2017-W48,Avian Influenza,0
9943,2017-W48,Zika,0
9944,2017-W48,Ebola Virus Disease,0
9945,2017-W48,Japanese Encephalitis,0
9946,2017-W48,Tetanus,0
9947,2017-W48,Botulism,0
9948,2017-W48,Murine Typhus,1
9949,2017-W49,Cholera,0
9950,2017-W49,Paratyphoid,0
9951,2017-W49,Typhoid,1
9952,2017-W49,Acute Viral Hepatitis A,2
9953,2017-W49,Acute Viral Hepatitis E,5
9954,2017-W49,Poliomyelitis,0
9955,2017-W49,Plague,0
9956,2017-W49,Yellow Fever,0
9957,2017-W49,Dengue Fever,33
9958,2017-W49,Dengue Haemorrhagic Fever,1
9959,2017-W49,Malaria,2
9960,2017-W49,Chikungunya,1
9961,2017-W49,HFMD,415
9962,2017-W49,Diphtheria,0
9963,2017-W49,Measles,0
9964,2017-W49,Mumps,11
9965,2017-W49,Rubella,0
9966,2017-W49,SARS,0
9967,2017-W49,Nipah,0
9968,2017-W49,Acute Viral hepatitis B,0
9969,2017-W49,Encephalitis,0
9970,2017-W49,Legionellosis,1
9971,2017-W49,Campylobacter enteritis,12
9972,2017-W49,Acute Viral hepatitis C,0
9973,2017-W49,Leptospirosis,2
9974,2017-W49,Melioidosis,0
9975,2017-W49,Meningococcal Infection,0
9976,2017-W49,Pertussis,1
9977,2017-W49,Pneumococcal Disease (invasive),5
9978,2017-W49,Haemophilus influenzae type b,0
9979,2017-W49,Salmonellosis(non-enteric fevers),36
9980,2017-W49,Avian Influenza,0
9981,2017-W49,Zika,0
9982,2017-W49,Ebola Virus Disease,0
9983,2017-W49,Japanese Encephalitis,0
9984,2017-W49,Tetanus,0
9985,2017-W49,Botulism,0
9986,2017-W49,Murine Typhus,0
9987,2017-W50,Cholera,0
9988,2017-W50,Paratyphoid,0
9989,2017-W50,Typhoid,1
9990,2017-W50,Acute Viral Hepatitis A,1
9991,2017-W50,Acute Viral Hepatitis E,0
9992,2017-W50,Poliomyelitis,0
9993,2017-W50,Plague,0
9994,2017-W50,Yellow Fever,0
9995,2017-W50,Dengue Fever,40
9996,2017-W50,Dengue Haemorrhagic Fever,0
9997,2017-W50,Malaria,0
9998,2017-W50,Chikungunya,0
9999,2017-W50,HFMD,460
10000,2017-W50,Diphtheria,0
10001,2017-W50,Measles,2
10002,2017-W50,Mumps,6
10003,2017-W50,Rubella,0
10004,2017-W50,SARS,0
10005,2017-W50,Nipah,0
10006,2017-W50,Acute Viral hepatitis B,0
10007,2017-W50,Encephalitis,0
10008,2017-W50,Legionellosis,0
10009,2017-W50,Campylobacter enteritis,11
10010,2017-W50,Acute Viral hepatitis C,2
10011,2017-W50,Leptospirosis,0
10012,2017-W50,Melioidosis,2
10013,2017-W50,Meningococcal Infection,0
10014,2017-W50,Pertussis,3
10015,2017-W50,Pneumococcal Disease (invasive),2
10016,2017-W50,Haemophilus influenzae type b,0
10017,2017-W50,Salmonellosis(non-enteric fevers),44
10018,2017-W50,Avian Influenza,0
10019,2017-W50,Zika,0
10020,2017-W50,Ebola Virus Disease,0
10021,2017-W50,Japanese Encephalitis,0
10022,2017-W50,Tetanus,0
10023,2017-W50,Botulism,0
10024,2017-W50,Murine Typhus,1
10025,2017-W51,Cholera,0
10026,2017-W51,Paratyphoid,0
10027,2017-W51,Typhoid,1
10028,2017-W51,Acute Viral Hepatitis A,1
10029,2017-W51,Acute Viral Hepatitis E,0
10030,2017-W51,Poliomyelitis,0
10031,2017-W51,Plague,0
10032,2017-W51,Yellow Fever,0
10033,2017-W51,Dengue Fever,51
10034,2017-W51,Dengue Haemorrhagic Fever,0
10035,2017-W51,Malaria,0
10036,2017-W51,Chikungunya,0
10037,2017-W51,HFMD,412
10038,2017-W51,Diphtheria,0
10039,2017-W51,Measles,0
10040,2017-W51,Mumps,11
10041,2017-W51,Rubella,1
10042,2017-W51,SARS,0
10043,2017-W51,Nipah,0
10044,2017-W51,Acute Viral hepatitis B,0
10045,2017-W51,Encephalitis,0
10046,2017-W51,Legionellosis,0
10047,2017-W51,Campylobacter enteritis,13
10048,2017-W51,Acute Viral hepatitis C,0
10049,2017-W51,Leptospirosis,2
10050,2017-W51,Melioidosis,0
10051,2017-W51,Meningococcal Infection,1
10052,2017-W51,Pertussis,2
10053,2017-W51,Pneumococcal Disease (invasive),2
10054,2017-W51,Haemophilus influenzae type b,1
10055,2017-W51,Salmonellosis(non-enteric fevers),36
10056,2017-W51,Avian Influenza,0
10057,2017-W51,Zika,0
10058,2017-W51,Ebola Virus Disease,0
10059,2017-W51,Japanese Encephalitis,0
10060,2017-W51,Tetanus,0
10061,2017-W51,Botulism,0
10062,2017-W51,Murine Typhus,3
10063,2017-W52,Cholera,0
10064,2017-W52,Paratyphoid,0
10065,2017-W52,Typhoid,1
10066,2017-W52,Acute Viral Hepatitis A,0
10067,2017-W52,Acute Viral Hepatitis E,0
10068,2017-W52,Poliomyelitis,0
10069,2017-W52,Plague,0
10070,2017-W52,Yellow Fever,0
10071,2017-W52,Dengue Fever,66
10072,2017-W52,Dengue Haemorrhagic Fever,0
10073,2017-W52,Malaria,0
10074,2017-W52,Chikungunya,0
10075,2017-W52,HFMD,325
10076,2017-W52,Diphtheria,0
10077,2017-W52,Measles,6
10078,2017-W52,Mumps,7
10079,2017-W52,Rubella,0
10080,2017-W52,SARS,0
10081,2017-W52,Nipah,0
10082,2017-W52,Acute Viral hepatitis B,0
10083,2017-W52,Encephalitis,0
10084,2017-W52,Legionellosis,1
10085,2017-W52,Campylobacter enteritis,5
10086,2017-W52,Acute Viral hepatitis C,1
10087,2017-W52,Leptospirosis,1
10088,2017-W52,Melioidosis,0
10089,2017-W52,Meningococcal Infection,0
10090,2017-W52,Pertussis,2
10091,2017-W52,Pneumococcal Disease (invasive),3
10092,2017-W52,Haemophilus influenzae type b,0
10093,2017-W52,Salmonellosis(non-enteric fevers),42
10094,2017-W52,Avian Influenza,0
10095,2017-W52,Zika,0
10096,2017-W52,Ebola Virus Disease,0
10097,2017-W52,Japanese Encephalitis,0
10098,2017-W52,Tetanus,0
10099,2017-W52,Botulism,0
10100,2017-W52,Murine Typhus,0
10101,2018-W01,Cholera,0
10102,2018-W01,Paratyphoid,1
10103,2018-W01,Typhoid,1
10104,2018-W01,Acute Viral Hepatitis A,1
10105,2018-W01,Acute Viral Hepatitis E,0
10106,2018-W01,Poliomyelitis,0
10107,2018-W01,Plague,0
10108,2018-W01,Yellow Fever,0
10109,2018-W01,Dengue Fever,83
10110,2018-W01,Dengue Haemorrhagic Fever,0
10111,2018-W01,Malaria,2
10112,2018-W01,Chikungunya,0
10113,2018-W01,HFMD,326
10114,2018-W01,Diphtheria,0
10115,2018-W01,Measles,1
10116,2018-W01,Mumps,6
10117,2018-W01,Rubella,0
10118,2018-W01,SARS,0
10119,2018-W01,Nipah,0
10120,2018-W01,Acute Viral hepatitis B,1
10121,2018-W01,Encephalitis,0
10122,2018-W01,Legionellosis,0
10123,2018-W01,Campylobacter enteritis,6
10124,2018-W01,Acute Viral hepatitis C,0
10125,2018-W01,Leptospirosis,0
10126,2018-W01,Melioidosis,1
10127,2018-W01,Meningococcal Infection,0
10128,2018-W01,Pertussis,2
10129,2018-W01,Pneumococcal Disease (invasive),1
10130,2018-W01,Haemophilus influenzae type b,0
10131,2018-W01,Salmonellosis(non-enteric fevers),27
10132,2018-W01,Avian Influenza,0
10133,2018-W01,Zika,0
10134,2018-W01,Ebola Virus Disease,0
10135,2018-W01,Japanese Encephalitis,0
10136,2018-W01,Tetanus,0
10137,2018-W01,Botulism,0
10138,2018-W01,Murine Typhus,0
10139,2018-W02,Cholera,0
10140,2018-W02,Paratyphoid,1
10141,2018-W02,Typhoid,1
10142,2018-W02,Acute Viral Hepatitis A,1
10143,2018-W02,Acute Viral Hepatitis E,1
10144,2018-W02,Poliomyelitis,0
10145,2018-W02,Plague,0
10146,2018-W02,Yellow Fever,0
10147,2018-W02,Dengue Fever,68
10148,2018-W02,Dengue Haemorrhagic Fever,0
10149,2018-W02,Malaria,1
10150,2018-W02,Chikungunya,0
10151,2018-W02,HFMD,478
10152,2018-W02,Diphtheria,0
10153,2018-W02,Measles,1
10154,2018-W02,Mumps,13
10155,2018-W02,Rubella,0
10156,2018-W02,SARS,0
10157,2018-W02,Nipah,0
10158,2018-W02,Acute Viral hepatitis B,2
10159,2018-W02,Encephalitis,0
10160,2018-W02,Legionellosis,0
10161,2018-W02,Campylobacter enteritis,8
10162,2018-W02,Acute Viral hepatitis C,0
10163,2018-W02,Leptospirosis,0
10164,2018-W02,Melioidosis,1
10165,2018-W02,Meningococcal Infection,1
10166,2018-W02,Pertussis,3
10167,2018-W02,Pneumococcal Disease (invasive),3
10168,2018-W02,Haemophilus influenzae type b,0
10169,2018-W02,Salmonellosis(non-enteric fevers),33
10170,2018-W02,Avian Influenza,0
10171,2018-W02,Zika,0
10172,2018-W02,Ebola Virus Disease,0
10173,2018-W02,Japanese Encephalitis,0
10174,2018-W02,Tetanus,0
10175,2018-W02,Botulism,0
10176,2018-W02,Murine Typhus,0
10177,2018-W03,Cholera,0
10178,2018-W03,Paratyphoid,0
10179,2018-W03,Typhoid,0
10180,2018-W03,Acute Viral Hepatitis A,1
10181,2018-W03,Acute Viral Hepatitis E,1
10182,2018-W03,Poliomyelitis,0
10183,2018-W03,Plague,0
10184,2018-W03,Yellow Fever,0
10185,2018-W03,Dengue Fever,54
10186,2018-W03,Dengue Haemorrhagic Fever,0
10187,2018-W03,Malaria,0
10188,2018-W03,Chikungunya,0
10189,2018-W03,HFMD,542
10190,2018-W03,Diphtheria,0
10191,2018-W03,Measles,2
10192,2018-W03,Mumps,11
10193,2018-W03,Rubella,0
10194,2018-W03,SARS,0
10195,2018-W03,Nipah,0
10196,2018-W03,Acute Viral hepatitis B,1
10197,2018-W03,Encephalitis,0
10198,2018-W03,Legionellosis,0
10199,2018-W03,Campylobacter enteritis,4
10200,2018-W03,Acute Viral hepatitis C,0
10201,2018-W03,Leptospirosis,1
10202,2018-W03,Melioidosis,1
10203,2018-W03,Meningococcal Infection,0
10204,2018-W03,Pertussis,2
10205,2018-W03,Pneumococcal Disease (invasive),5
10206,2018-W03,Haemophilus influenzae type b,0
10207,2018-W03,Salmonellosis(non-enteric fevers),28
10208,2018-W03,Avian Influenza,0
10209,2018-W03,Zika,1
10210,2018-W03,Ebola Virus Disease,0
10211,2018-W03,Japanese Encephalitis,0
10212,2018-W03,Tetanus,0
10213,2018-W03,Botulism,0
10214,2018-W03,Murine Typhus,0
10215,2018-W04,Cholera,0
10216,2018-W04,Paratyphoid,1
10217,2018-W04,Typhoid,3
10218,2018-W04,Acute Viral Hepatitis A,0
10219,2018-W04,Acute Viral Hepatitis E,2
10220,2018-W04,Poliomyelitis,0
10221,2018-W04,Plague,0
10222,2018-W04,Yellow Fever,0
10223,2018-W04,Dengue Fever,45
10224,2018-W04,Dengue Haemorrhagic Fever,0
10225,2018-W04,Malaria,0
10226,2018-W04,Chikungunya,0
10227,2018-W04,HFMD,645
10228,2018-W04,Diphtheria,0
10229,2018-W04,Measles,0
10230,2018-W04,Mumps,12
10231,2018-W04,Rubella,0
10232,2018-W04,SARS,0
10233,2018-W04,Nipah,0
10234,2018-W04,Acute Viral hepatitis B,1
10235,2018-W04,Encephalitis,0
10236,2018-W04,Legionellosis,2
10237,2018-W04,Campylobacter enteritis,9
10238,2018-W04,Acute Viral hepatitis C,0
10239,2018-W04,Leptospirosis,1
10240,2018-W04,Melioidosis,0
10241,2018-W04,Meningococcal Infection,0
10242,2018-W04,Pertussis,2
10243,2018-W04,Pneumococcal Disease (invasive),0
10244,2018-W04,Haemophilus influenzae type b,0
10245,2018-W04,Salmonellosis(non-enteric fevers),23
10246,2018-W04,Avian Influenza,0
10247,2018-W04,Zika,0
10248,2018-W04,Ebola Virus Disease,0
10249,2018-W04,Japanese Encephalitis,0
10250,2018-W04,Tetanus,1
10251,2018-W04,Botulism,0
10252,2018-W04,Murine Typhus,0
10253,2018-W05,Cholera,1
10254,2018-W05,Paratyphoid,0
10255,2018-W05,Typhoid,0
10256,2018-W05,Acute Viral Hepatitis A,1
10257,2018-W05,Acute Viral Hepatitis E,0
10258,2018-W05,Poliomyelitis,0
10259,2018-W05,Plague,0
10260,2018-W05,Yellow Fever,0
10261,2018-W05,Dengue Fever,48
10262,2018-W05,Dengue Haemorrhagic Fever,0
10263,2018-W05,Malaria,0
10264,2018-W05,Chikungunya,0
10265,2018-W05,HFMD,757
10266,2018-W05,Diphtheria,0
10267,2018-W05,Measles,1
10268,2018-W05,Mumps,17
10269,2018-W05,Rubella,0
10270,2018-W05,SARS,0
10271,2018-W05,Nipah,0
10272,2018-W05,Acute Viral hepatitis B,1
10273,2018-W05,Encephalitis,0
10274,2018-W05,Legionellosis,0
10275,2018-W05,Campylobacter enteritis,9
10276,2018-W05,Acute Viral hepatitis C,0
10277,2018-W05,Leptospirosis,0
10278,2018-W05,Melioidosis,1
10279,2018-W05,Meningococcal Infection,0
10280,2018-W05,Pertussis,0
10281,2018-W05,Pneumococcal Disease (invasive),2
10282,2018-W05,Haemophilus influenzae type b,0
10283,2018-W05,Salmonellosis(non-enteric fevers),26
10284,2018-W05,Avian Influenza,0
10285,2018-W05,Zika,0
10286,2018-W05,Ebola Virus Disease,0
10287,2018-W05,Japanese Encephalitis,0
10288,2018-W05,Tetanus,0
10289,2018-W05,Botulism,1
10290,2018-W05,Murine Typhus,0
10291,2018-W06,Cholera,0
10292,2018-W06,Paratyphoid,1
10293,2018-W06,Typhoid,1
10294,2018-W06,Acute Viral Hepatitis A,1
10295,2018-W06,Acute Viral Hepatitis E,1
10296,2018-W06,Poliomyelitis,0
10297,2018-W06,Plague,0
10298,2018-W06,Yellow Fever,0
10299,2018-W06,Dengue Fever,50
10300,2018-W06,Dengue Haemorrhagic Fever,0
10301,2018-W06,Malaria,0
10302,2018-W06,Chikungunya,0
10303,2018-W06,HFMD,699
10304,2018-W06,Diphtheria,0
10305,2018-W06,Measles,0
10306,2018-W06,Mumps,11
10307,2018-W06,Rubella,0
10308,2018-W06,SARS,0
10309,2018-W06,Nipah,0
10310,2018-W06,Acute Viral hepatitis B,0
10311,2018-W06,Encephalitis,0
10312,2018-W06,Legionellosis,0
10313,2018-W06,Campylobacter enteritis,4
10314,2018-W06,Acute Viral hepatitis C,1
10315,2018-W06,Leptospirosis,0
10316,2018-W06,Melioidosis,1
10317,2018-W06,Meningococcal Infection,0
10318,2018-W06,Pertussis,4
10319,2018-W06,Pneumococcal Disease (invasive),2
10320,2018-W06,Haemophilus influenzae type b,0
10321,2018-W06,Salmonellosis(non-enteric fevers),22
10322,2018-W06,Avian Influenza,0
10323,2018-W06,Zika,0
10324,2018-W06,Ebola Virus Disease,0
10325,2018-W06,Japanese Encephalitis,0
10326,2018-W06,Tetanus,0
10327,2018-W06,Botulism,0
10328,2018-W06,Murine Typhus,0
10329,2018-W07,Cholera,0
10330,2018-W07,Paratyphoid,0
10331,2018-W07,Typhoid,0
10332,2018-W07,Acute Viral Hepatitis A,2
10333,2018-W07,Acute Viral Hepatitis E,2
10334,2018-W07,Poliomyelitis,0
10335,2018-W07,Plague,0
10336,2018-W07,Yellow Fever,0
10337,2018-W07,Dengue Fever,28
10338,2018-W07,Dengue Haemorrhagic Fever,0
10339,2018-W07,Malaria,0
10340,2018-W07,Chikungunya,0
10341,2018-W07,HFMD,546
10342,2018-W07,Diphtheria,0
10343,2018-W07,Measles,2
10344,2018-W07,Mumps,2
10345,2018-W07,Rubella,0
10346,2018-W07,SARS,0
10347,2018-W07,Nipah,0
10348,2018-W07,Acute Viral hepatitis B,0
10349,2018-W07,Encephalitis,0
10350,2018-W07,Legionellosis,0
10351,2018-W07,Campylobacter enteritis,4
10352,2018-W07,Acute Viral hepatitis C,0
10353,2018-W07,Leptospirosis,1
10354,2018-W07,Melioidosis,0
10355,2018-W07,Meningococcal Infection,0
10356,2018-W07,Pertussis,2
10357,2018-W07,Pneumococcal Disease (invasive),3
10358,2018-W07,Haemophilus influenzae type b,0
10359,2018-W07,Salmonellosis(non-enteric fevers),13
10360,2018-W07,Avian Influenza,0
10361,2018-W07,Zika,0
10362,2018-W07,Ebola Virus Disease,0
10363,2018-W07,Japanese Encephalitis,0
10364,2018-W07,Tetanus,0
10365,2018-W07,Botulism,0
10366,2018-W07,Murine Typhus,0
10367,2018-W08,Cholera,0
10368,2018-W08,Paratyphoid,0
10369,2018-W08,Typhoid,2
10370,2018-W08,Acute Viral Hepatitis A,2
10371,2018-W08,Acute Viral Hepatitis E,2
10372,2018-W08,Poliomyelitis,0
10373,2018-W08,Plague,0
10374,2018-W08,Yellow Fever,0
10375,2018-W08,Dengue Fever,38
10376,2018-W08,Dengue Haemorrhagic Fever,1
10377,2018-W08,Malaria,1
10378,2018-W08,Chikungunya,0
10379,2018-W08,HFMD,668
10380,2018-W08,Diphtheria,0
10381,2018-W08,Measles,0
10382,2018-W08,Mumps,8
10383,2018-W08,Rubella,0
10384,2018-W08,SARS,0
10385,2018-W08,Nipah,0
10386,2018-W08,Acute Viral hepatitis B,0
10387,2018-W08,Encephalitis,0
10388,2018-W08,Legionellosis,0
10389,2018-W08,Campylobacter enteritis,8
10390,2018-W08,Acute Viral hepatitis C,2
10391,2018-W08,Leptospirosis,0
10392,2018-W08,Melioidosis,1
10393,2018-W08,Meningococcal Infection,0
10394,2018-W08,Pertussis,1
10395,2018-W08,Pneumococcal Disease (invasive),4
10396,2018-W08,Haemophilus influenzae type b,0
10397,2018-W08,Salmonellosis(non-enteric fevers),14
10398,2018-W08,Avian Influenza,0
10399,2018-W08,Zika,0
10400,2018-W08,Ebola Virus Disease,0
10401,2018-W08,Japanese Encephalitis,0
10402,2018-W08,Tetanus,0
10403,2018-W08,Botulism,0
10404,2018-W08,Murine Typhus,0
10405,2018-W09,Cholera,0
10406,2018-W09,Paratyphoid,1
10407,2018-W09,Typhoid,1
10408,2018-W09,Acute Viral Hepatitis A,0
10409,2018-W09,Acute Viral Hepatitis E,3
10410,2018-W09,Poliomyelitis,0
10411,2018-W09,Plague,0
10412,2018-W09,Yellow Fever,0
10413,2018-W09,Dengue Fever,51
10414,2018-W09,Dengue Haemorrhagic Fever,0
10415,2018-W09,Malaria,0
10416,2018-W09,Chikungunya,1
10417,2018-W09,HFMD,780
10418,2018-W09,Diphtheria,0
10419,2018-W09,Measles,1
10420,2018-W09,Mumps,10
10421,2018-W09,Rubella,0
10422,2018-W09,SARS,0
10423,2018-W09,Nipah,0
10424,2018-W09,Acute Viral hepatitis B,2
10425,2018-W09,Encephalitis,0
10426,2018-W09,Legionellosis,0
10427,2018-W09,Campylobacter enteritis,4
10428,2018-W09,Acute Viral hepatitis C,0
10429,2018-W09,Leptospirosis,0
10430,2018-W09,Melioidosis,0
10431,2018-W09,Meningococcal Infection,1
10432,2018-W09,Pertussis,4
10433,2018-W09,Pneumococcal Disease (invasive),3
10434,2018-W09,Haemophilus influenzae type b,0
10435,2018-W09,Salmonellosis(non-enteric fevers),32
10436,2018-W09,Avian Influenza,0
10437,2018-W09,Zika,0
10438,2018-W09,Ebola Virus Disease,0
10439,2018-W09,Japanese Encephalitis,0
10440,2018-W09,Tetanus,0
10441,2018-W09,Botulism,0
10442,2018-W09,Murine Typhus,1
10443,2018-W10,Cholera,0
10444,2018-W10,Paratyphoid,0
10445,2018-W10,Typhoid,0
10446,2018-W10,Acute Viral Hepatitis A,1
10447,2018-W10,Acute Viral Hepatitis E,0
10448,2018-W10,Poliomyelitis,0
10449,2018-W10,Plague,0
10450,2018-W10,Yellow Fever,0
10451,2018-W10,Dengue Fever,37
10452,2018-W10,Dengue Haemorrhagic Fever,0
10453,2018-W10,Malaria,0
10454,2018-W10,Chikungunya,0
10455,2018-W10,HFMD,1105
10456,2018-W10,Diphtheria,0
10457,2018-W10,Measles,2
10458,2018-W10,Mumps,5
10459,2018-W10,Rubella,0
10460,2018-W10,SARS,0
10461,2018-W10,Nipah,0
10462,2018-W10,Acute Viral hepatitis B,2
10463,2018-W10,Encephalitis,0
10464,2018-W10,Legionellosis,0
10465,2018-W10,Campylobacter enteritis,4
10466,2018-W10,Acute Viral hepatitis C,0
10467,2018-W10,Leptospirosis,0
10468,2018-W10,Melioidosis,0
10469,2018-W10,Meningococcal Infection,0
10470,2018-W10,Pertussis,0
10471,2018-W10,Pneumococcal Disease (invasive),4
10472,2018-W10,Haemophilus influenzae type b,0
10473,2018-W10,Salmonellosis(non-enteric fevers),32
10474,2018-W10,Avian Influenza,0
10475,2018-W10,Zika,0
10476,2018-W10,Ebola Virus Disease,0
10477,2018-W10,Japanese Encephalitis,0
10478,2018-W10,Tetanus,0
10479,2018-W10,Botulism,0
10480,2018-W10,Murine Typhus,0
10481,2018-W11,Cholera,0
10482,2018-W11,Paratyphoid,0
10483,2018-W11,Typhoid,0
10484,2018-W11,Acute Viral Hepatitis A,2
10485,2018-W11,Acute Viral Hepatitis E,1
10486,2018-W11,Poliomyelitis,0
10487,2018-W11,Plague,0
10488,2018-W11,Yellow Fever,0
10489,2018-W11,Dengue Fever,37
10490,2018-W11,Dengue Haemorrhagic Fever,2
10491,2018-W11,Malaria,2
10492,2018-W11,Chikungunya,0
10493,2018-W11,HFMD,946
10494,2018-W11,Diphtheria,0
10495,2018-W11,Measles,1
10496,2018-W11,Mumps,11
10497,2018-W11,Rubella,0
10498,2018-W11,SARS,0
10499,2018-W11,Nipah,0
10500,2018-W11,Acute Viral hepatitis B,1
10501,2018-W11,Encephalitis,0
10502,2018-W11,Legionellosis,0
10503,2018-W11,Campylobacter enteritis,4
10504,2018-W11,Acute Viral hepatitis C,1
10505,2018-W11,Leptospirosis,1
10506,2018-W11,Melioidosis,0
10507,2018-W11,Meningococcal Infection,1
10508,2018-W11,Pertussis,0
10509,2018-W11,Pneumococcal Disease (invasive),3
10510,2018-W11,Haemophilus influenzae type b,0
10511,2018-W11,Salmonellosis(non-enteric fevers),32
10512,2018-W11,Avian Influenza,0
10513,2018-W11,Zika,0
10514,2018-W11,Ebola Virus Disease,0
10515,2018-W11,Japanese Encephalitis,0
10516,2018-W11,Tetanus,0
10517,2018-W11,Botulism,0
10518,2018-W11,Murine Typhus,1
10519,2018-W12,Cholera,0
10520,2018-W12,Paratyphoid,0
10521,2018-W12,Typhoid,0
10522,2018-W12,Acute Viral Hepatitis A,2
10523,2018-W12,Acute Viral Hepatitis E,1
10524,2018-W12,Poliomyelitis,0
10525,2018-W12,Plague,0
10526,2018-W12,Yellow Fever,0
10527,2018-W12,Dengue Fever,36
10528,2018-W12,Dengue Haemorrhagic Fever,0
10529,2018-W12,Malaria,1
10530,2018-W12,Chikungunya,0
10531,2018-W12,HFMD,983
10532,2018-W12,Diphtheria,0
10533,2018-W12,Measles,0
10534,2018-W12,Mumps,11
10535,2018-W12,Rubella,0
10536,2018-W12,SARS,0
10537,2018-W12,Nipah,0
10538,2018-W12,Acute Viral hepatitis B,0
10539,2018-W12,Encephalitis,0
10540,2018-W12,Legionellosis,0
10541,2018-W12,Campylobacter enteritis,12
10542,2018-W12,Acute Viral hepatitis C,0
10543,2018-W12,Leptospirosis,1
10544,2018-W12,Melioidosis,2
10545,2018-W12,Meningococcal Infection,0
10546,2018-W12,Pertussis,6
10547,2018-W12,Pneumococcal Disease (invasive),2
10548,2018-W12,Haemophilus influenzae type b,0
10549,2018-W12,Salmonellosis(non-enteric fevers),30
10550,2018-W12,Avian Influenza,0
10551,2018-W12,Zika,0
10552,2018-W12,Ebola Virus Disease,0
10553,2018-W12,Japanese Encephalitis,0
10554,2018-W12,Tetanus,0
10555,2018-W12,Botulism,0
10556,2018-W12,Murine Typhus,0
10557,2018-W13,Cholera,0
10558,2018-W13,Paratyphoid,0
10559,2018-W13,Typhoid,0
10560,2018-W13,Acute Viral Hepatitis A,1
10561,2018-W13,Acute Viral Hepatitis E,1
10562,2018-W13,Poliomyelitis,0
10563,2018-W13,Plague,0
10564,2018-W13,Yellow Fever,0
10565,2018-W13,Dengue Fever,24
10566,2018-W13,Dengue Haemorrhagic Fever,0
10567,2018-W13,Malaria,0
10568,2018-W13,Chikungunya,0
10569,2018-W13,HFMD,843
10570,2018-W13,Diphtheria,0
10571,2018-W13,Measles,1
10572,2018-W13,Mumps,10
10573,2018-W13,Rubella,0
10574,2018-W13,SARS,0
10575,2018-W13,Nipah,0
10576,2018-W13,Acute Viral hepatitis B,2
10577,2018-W13,Encephalitis,0
10578,2018-W13,Legionellosis,0
10579,2018-W13,Campylobacter enteritis,11
10580,2018-W13,Acute Viral hepatitis C,1
10581,2018-W13,Leptospirosis,1
10582,2018-W13,Melioidosis,0
10583,2018-W13,Meningococcal Infection,0
10584,2018-W13,Pertussis,1
10585,2018-W13,Pneumococcal Disease (invasive),2
10586,2018-W13,Haemophilus influenzae type b,0
10587,2018-W13,Salmonellosis(non-enteric fevers),22
10588,2018-W13,Avian Influenza,0
10589,2018-W13,Zika,0
10590,2018-W13,Ebola Virus Disease,0
10591,2018-W13,Japanese Encephalitis,0
10592,2018-W13,Tetanus,0
10593,2018-W13,Botulism,0
10594,2018-W13,Murine Typhus,0
10595,2018-W14,Cholera,0
10596,2018-W14,Paratyphoid,0
10597,2018-W14,Typhoid,3
10598,2018-W14,Acute Viral Hepatitis A,1
10599,2018-W14,Acute Viral Hepatitis E,3
10600,2018-W14,Poliomyelitis,0
10601,2018-W14,Plague,0
10602,2018-W14,Yellow Fever,0
10603,2018-W14,Dengue Fever,38
10604,2018-W14,Dengue Haemorrhagic Fever,0
10605,2018-W14,Malaria,0
10606,2018-W14,Chikungunya,0
10607,2018-W14,HFMD,1010
10608,2018-W14,Diphtheria,0
10609,2018-W14,Measles,2
10610,2018-W14,Mumps,12
10611,2018-W14,Rubella,0
10612,2018-W14,SARS,0
10613,2018-W14,Nipah,0
10614,2018-W14,Acute Viral hepatitis B,0
10615,2018-W14,Encephalitis,0
10616,2018-W14,Legionellosis,1
10617,2018-W14,Campylobacter enteritis,10
10618,2018-W14,Acute Viral hepatitis C,1
10619,2018-W14,Leptospirosis,1
10620,2018-W14,Melioidosis,0
10621,2018-W14,Meningococcal Infection,0
10622,2018-W14,Pertussis,5
10623,2018-W14,Pneumococcal Disease (invasive),0
10624,2018-W14,Haemophilus influenzae type b,0
10625,2018-W14,Salmonellosis(non-enteric fevers),32
10626,2018-W14,Avian Influenza,0
10627,2018-W14,Zika,0
10628,2018-W14,Ebola Virus Disease,0
10629,2018-W14,Japanese Encephalitis,0
10630,2018-W14,Tetanus,0
10631,2018-W14,Botulism,0
10632,2018-W14,Murine Typhus,1
10633,2018-W15,Cholera,0
10634,2018-W15,Paratyphoid,0
10635,2018-W15,Typhoid,0
10636,2018-W15,Acute Viral Hepatitis A,2
10637,2018-W15,Acute Viral Hepatitis E,2
10638,2018-W15,Poliomyelitis,0
10639,2018-W15,Plague,0
10640,2018-W15,Yellow Fever,0
10641,2018-W15,Dengue Fever,38
10642,2018-W15,Dengue Haemorrhagic Fever,0
