_id,epi_week,disease,no._of_cases
509,2012-W17,Legionellosis,0
510,2012-W17,Malaria,2
511,2012-W17,Measles,1
512,2012-W17,Melioidosis,1
513,2012-W17,Meningococcal Infection,0
514,2012-W17,Mumps,13
515,2012-W17,Nipah virus infection,0
516,2012-W17,Paratyphoid,2
517,2012-W17,Pertussis,0
518,2012-W17,Plague,0
519,2012-W17,Pneumococcal Disease (invasive),7
520,2012-W17,Poliomyelitis,0
521,2012-W17,Rubella,3
522,2012-W17,Salmonellosis(non-enteric fevers),27
523,2012-W17,SARS,0
524,2012-W17,Typhoid,1
525,2012-W17,Viral Hepatitis A,1
526,2012-W17,Viral Hepatitis E,1
527,2012-W17,Yellow Fever,0
528,2012-W18,Acute Viral hepatitis B,3
529,2012-W18,Acute Viral hepatitis C,0
530,2012-W18,Avian Influenza,0
531,2012-W18,Campylobacterenterosis,2
532,2012-W18,Chikungunya Fever,0
533,2012-W18,Cholera,0
534,2012-W18,Dengue Fever,86
535,2012-W18,Dengue Haemorrhagic Fever,2
536,2012-W18,Diphtheria,0
537,2012-W18,Encephalitis,0
538,2012-W18,Haemophilus influenzae type b,0
539,2012-W18,"Hand, Foot Mouth Disease",1462
540,2012-W18,Legionellosis,0
541,2012-W18,Malaria,2
542,2012-W18,Measles,1
543,2012-W18,Melioidosis,1
544,2012-W18,Meningococcal Infection,0
545,2012-W18,Mumps,13
546,2012-W18,Nipah virus infection,0
547,2012-W18,Paratyphoid,1
548,2012-W18,Pertussis,0
549,2012-W18,Plague,0
550,2012-W18,Pneumococcal Disease (invasive),3
551,2012-W18,Poliomyelitis,0
552,2012-W18,Rubella,2
553,2012-W18,Salmonellosis(non-enteric fevers),21
554,2012-W18,SARS,0
555,2012-W18,Typhoid,3
556,2012-W18,Viral Hepatitis A,0
557,2012-W18,Viral Hepatitis E,3
558,2012-W18,Yellow Fever,0
559,2012-W19,Acute Viral hepatitis B,0
560,2012-W19,Acute Viral hepatitis C,0
561,2012-W19,Avian Influenza,0
562,2012-W19,Campylobacterenterosis,12
563,2012-W19,Chikungunya Fever,1
564,2012-W19,Cholera,0
565,2012-W19,Dengue Fever,96
566,2012-W19,Dengue Haemorrhagic Fever,1
567,2012-W19,Diphtheria,0
568,2012-W19,Encephalitis,0
569,2012-W19,Haemophilus influenzae type b,0
570,2012-W19,"Hand, Foot Mouth Disease",1607
571,2012-W19,Legionellosis,0
572,2012-W19,Malaria,1
573,2012-W19,Measles,1
574,2012-W19,Melioidosis,0
