origin_week,target_week,h,predicted,lower,upper,actual,abs_error,signed_error,in_pi,winkler_alpha20,p_exceed_200,p_exceed_300,p_exceed_400,p_exceed_500,model_kind
2020-01-19,2020-02-16,4,283.59182638336506,112.74153988987734,454.4421128768528,381.0,97.40817361663494,-97.40817361663494,True,341.70057298697543,0.73468602643573,0.4510208035166071,0.19127345674599827,0.05225798942755788,sarima
2020-01-19,2020-02-23,5,257.65591217673295,64.61508991047714,450.69673444298877,374.0,116.34408782326705,-116.34408782326705,True,386.08164453251163,0.6490578839600727,0.38930809420561163,0.1723233475009598,0.05381638356906315,sarima
2020-01-19,2020-03-01,6,233.6813962906725,20.057383587968047,447.30540899337694,375.0,141.3186037093275,-141.3186037093275,True,427.2480254054089,0.5800673039554836,0.34536415210533533,0.15918830832058828,0.05505131617896186,sarima
2020-01-19,2020-03-08,7,209.23890546262635,-23.42549889375846,441.90330981901116,389.0,179.76109453737365,-179.76109453737365,True,465.3288087127696,0.5202939090871073,0.30855688272685,0.14667950981554034,0.05462009164126225,sarima
2020-01-19,2020-03-15,8,196.99507584000094,-53.16335298951461,447.15350466951645,368.0,171.00492415999906,-171.00492415999906,True,500.31685765903103,0.49385865089725345,0.2988503069597509,0.14916405861097837,0.06029036201253235,sarima
2020-01-19,2020-03-22,9,199.94540911701674,-66.65466969318035,466.5454879272138,377.0,177.05459088298326,-177.05459088298326,True,533.2001576203942,0.49989530585247455,0.31526447985524686,0.1680995317967504,0.074591604043035,sarima
2020-01-19,2020-03-29,10,208.00441616409157,-74.08990199016424,490.0987343183474,315.0,106.99558383590843,-106.99558383590843,True,564.1886363085116,0.5145044803212211,0.3379915521790491,0.1915313915282909,0.09232332336270099,sarima
2020-01-19,2020-04-05,11,224.96452020176739,-71.80959649323856,521.7386368967733,343.0,118.03547979823261,-118.03547979823261,True,593.5482333900119,0.5429258747935999,0.372955423802361,0.2248607230145061,0.1174712618758893,sarima
2020-01-19,2020-04-12,12,234.96755268142073,-75.8045562453986,545.7396616082401,360.0,125.03244731857927,-125.03244731857927,True,621.5442178536387,0.5573300983062203,0.3942770157479383,0.24806833464734268,0.13720278471275593,sarima
2020-02-16,2020-02-23,1,351.5698158449264,262.5736858002399,440.56594588961286,374.0,22.43018415507362,-22.43018415507362,True,177.99226008937296,0.9854710545286955,0.7711494531639322,0.24276843727196828,0.016279176791018646,sarima
