week_start,Dengue Fever,Dengue Haemorrhagic Fever,Total Dengue Cases,moving_avg_12w,avg_temp_c,min_temp_c,max_temp_c,avg_relative_humidity_pct,avg_wind_speed,warm_day_share,source_rows,source_query_start,source_query_end,weather_lag_days,weather_overlap_flag
2016-10-02,94,0,94,198.66666666666666,28.683333333333334,24.333333333333332,33.03333333333333,77.0,16.5,0.8666666666666667,30.0,2016-06-01,2016-06-04,126.0,1
2016-10-09,108,0,108,189.16666666666666,29.236842105263158,25.087719298245613,33.3859649122807,77.36842105263158,16.535087719298247,0.9298245614035088,57.0,2016-06-05,2016-06-11,126.0,1
2016-10-16,84,0,84,178.58333333333334,28.577464788732396,24.56338028169014,32.59154929577465,77.21830985915493,19.64788732394366,0.9295774647887324,71.0,2016-06-12,2016-06-18,126.0,1
2016-10-23,85,1,86,169.25,28.906779661016948,24.610169491525422,33.20338983050848,77.07627118644068,16.949152542372882,0.9152542372881356,59.0,2016-06-19,2016-06-25,126.0,1
2016-10-30,84,0,84,157.75,29.617021276595743,25.72340425531915,33.51063829787234,72.97872340425532,18.45744680851064,1.0,47.0,2016-06-26,2016-07-02,126.0,1
2016-11-06,72,0,72,140.91666666666666,29.535714285714285,25.523809523809526,33.54761904761905,75.77380952380952,17.797619047619047,0.9285714285714286,42.0,2016-07-03,2016-07-09,126.0,1
2016-11-13,74,1,75,121.25,28.537037037037038,24.38888888888889,32.68518518518518,77.87037037037037,18.61111111111111,0.8518518518518519,54.0,2016-07-10,2016-07-16,126.0,1
2016-11-20,86,0,86,108.25,28.45614035087719,24.210526315789473,32.70175438596491,77.5,17.236842105263158,0.9122807017543859,57.0,2016-07-17,2016-07-23,126.0,1
2016-11-27,59,0,59,98.66666666666667,28.180851063829788,24.19148936170213,32.170212765957444,78.29787234042553,17.659574468085108,0.7659574468085106,47.0,2016-07-24,2016-07-30,126.0,1
2016-12-04,81,0,81,91.0,28.673076923076923,24.634615384615383,32.71153846153846,77.3076923076923,18.75,0.8461538461538461,52.0,2016-07-31,2016-08-06,126.0,1
2016-12-11,72,0,72,85.5,28.878048780487806,24.804878048780488,32.951219512195124,76.21951219512195,19.573170731707318,1.0,41.0,2016-08-07,2016-08-13,126.0,1
2016-12-18,64,0,64,80.41666666666667,28.82456140350877,24.75438596491228,32.89473684210526,76.8859649122807,22.93859649122807,0.9122807017543859,57.0,2016-08-14,2016-08-20,126.0,1
2017-01-01,70,0,70,78.41666666666667,28.744897959183675,24.551020408163264,32.93877551020408,77.34693877551021,18.418367346938776,1.0,49.0,2016-08-28,2016-09-03,126.0,1
2017-01-08,90,1,91,77.0,28.68,24.46,32.9,77.0,19.5,0.88,50.0,2016-09-04,2016-09-10,126.0,1
2017-01-15,74,1,75,76.25,28.581818181818182,24.436363636363637,32.72727272727273,77.22727272727273,19.09090909090909,0.8363636363636363,55.0,2016-09-11,2016-09-17,126.0,1
2017-01-22,66,0,66,74.58333333333333,28.479591836734695,24.244897959183675,32.714285714285715,76.42857142857143,20.918367346938776,0.9387755102040817,49.0,2016-09-18,2016-09-24,126.0,1
2017-01-29,62,0,62,72.75,29.344444444444445,24.88888888888889,33.8,74.16666666666667,18.944444444444443,1.0,45.0,2016-09-25,2016-10-01,126.0,1
2017-02-05,77,0,77,73.16666666666667,28.348214285714285,24.0,32.69642857142857,77.36607142857143,18.571428571428573,0.9464285714285714,56.0,2016-10-02,2016-10-08,126.0,1
2017-02-12,51,2,53,71.33333333333333,29.18421052631579,24.614035087719298,33.75438596491228,73.99122807017544,22.017543859649123,1.0,57.0,2016-10-09,2016-10-15,126.0,1
2017-02-19,54,0,54,68.66666666666667,28.537735849056602,24.32075471698113,32.75471698113208,77.12264150943396,18.39622641509434,0.9245283018867925,53.0,2016-10-16,2016-10-22,126.0,1
2017-02-26,41,0,41,67.16666666666667,28.46923076923077,24.4,32.53846153846154,77.57692307692308,17.153846153846153,0.9538461538461539,65.0,2016-10-23,2016-10-29,126.0,1
2017-03-05,32,0,32,63.083333333333336,27.887096774193548,23.64516129032258,32.12903225806452,78.46774193548387,19.879032258064516,0.8548387096774194,62.0,2016-10-30,2016-11-05,126.0,1
2017-03-12,34,1,35,60.0,28.56,24.14,32.98,77.45,15.45,0.94,50.0,2016-11-06,2016-11-12,126.0,1
2017-03-19,32,0,32,57.333333333333336,28.12280701754386,23.87719298245614,32.36842105263158,77.19298245614036,13.421052631578947,0.7894736842105263,57.0,2016-11-13,2016-11-19,126.0,1
2017-03-26,49,1,50,55.666666666666664,28.2875,24.0,32.575,76.8125,13.1875,0.8,40.0,2016-11-20,2016-11-26,126.0,1
2017-04-02,37,0,37,51.166666666666664,27.547619047619047,23.793650793650794,31.3015873015873,79.2063492063492,18.96825396825397,0.5873015873015873,63.0,2016-11-27,2016-12-03,126.0,1
2017-04-09,32,0,32,47.583333333333336,28.846153846153847,24.415384615384614,33.276923076923076,75.84615384615384,19.46153846153846,1.0,65.0,2016-12-04,2016-12-10,126.0,1
2017-04-16,51,0,51,46.333333333333336,28.516949152542374,24.033898305084747,33.0,75.97457627118644,19.661016949152543,0.9322033898305084,59.0,2016-12-11,2016-12-17,126.0,1
2017-04-23,37,0,37,44.25,28.40740740740741,23.98148148148148,32.833333333333336,76.52777777777777,20.694444444444443,0.9074074074074074,54.0,2016-12-18,2016-12-24,126.0,1
2017-04-30,42,0,42,41.333333333333336,28.236363636363638,24.12727272727273,32.345454545454544,76.0909090909091,22.863636363636363,0.8727272727272727,55.0,2016-12-25,2016-12-31,126.0,1
2017-05-07,48,0,48,40.916666666666664,28.25531914893617,24.23404255319149,32.276595744680854,77.02127659574468,17.819148936170212,0.7872340425531915,47.0,2017-01-01,2017-01-07,126.0,1
2017-05-14,48,2,50,40.583333333333336,28.953488372093023,24.488372093023255,33.41860465116279,75.81395348837209,16.3953488372093,1.0,43.0,2017-01-08,2017-01-14,126.0,1
2017-05-21,50,0,50,41.333333333333336,28.318181818181817,23.84090909090909,32.79545454545455,76.875,16.931818181818183,0.9772727272727273,44.0,2017-01-15,2017-01-21,126.0,1
2017-05-28,66,0,66,44.166666666666664,26.78846153846154,23.096153846153847,30.48076923076923,82.21153846153847,20.33653846153846,0.4807692307692308,52.0,2017-01-22,2017-01-28,126.0,1
2017-06-04,62,0,62,46.416666666666664,28.351063829787233,24.0,32.702127659574465,74.8936170212766,18.03191489361702,0.8936170212765957,47.0,2017-01-29,2017-02-04,126.0,1
2017-06-11,79,1,80,50.416666666666664,28.285714285714285,23.857142857142858,32.714285714285715,75.51020408163265,20.56122448979592,0.8571428571428571,49.0,2017-02-05,2017-02-11,126.0,1
2017-06-18,73,0,73,52.333333333333336,27.774193548387096,23.870967741935484,31.677419354838708,76.69354838709677,22.661290322580644,0.6451612903225806,31.0,2017-02-14,2017-02-18,126.0,1
2017-06-25,75,0,75,55.5,28.47872340425532,24.0,32.95744680851064,76.48936170212765,13.138297872340425,0.9787234042553191,47.0,2017-02-19,2017-02-25,126.0,1
2017-07-02,63,0,63,58.083333333333336,27.3,23.6,31.0,79.36363636363636,17.454545454545453,0.509090909090909,55.0,2017-02-26,2017-03-04,126.0,1
2017-07-09,53,0,53,58.25,28.683673469387756,24.0,33.36734693877551,74.03061224489795,16.428571428571427,1.0,49.0,2017-03-05,2017-03-11,126.0,1
2017-07-16,51,0,51,59.416666666666664,28.441860465116278,24.046511627906977,32.83720930232558,75.69767441860465,10.813953488372093,0.8372093023255814,43.0,2017-03-12,2017-03-18,126.0,1
2017-07-23,66,1,67,61.5,28.931818181818183,24.068181818181817,33.79545454545455,74.88636363636364,15.284090909090908,0.9318181818181818,44.0,2017-03-19,2017-03-25,126.0,1
2017-07-30,60,0,60,62.5,28.267441860465116,24.0,32.53488372093023,77.32558139534883,12.848837209302326,0.813953488372093,43.0,2017-03-26,2017-03-31,126.0,1
2017-08-06,56,0,56,63.0,28.094594594594593,23.54054054054054,32.648648648648646,77.83783783783784,20.945945945945947,0.7837837837837838,37.0,2017-04-03,2017-04-07,126.0,1
2017-08-13,52,1,53,63.25,28.42105263157895,24.0,32.8421052631579,78.02631578947368,14.276315789473685,0.8421052631578947,38.0,2017-04-11,2017-04-15,126.0,1
